Time (min),Temperature (C),Storage Modulus (MPa),Loss Modulus (MPa),Stress (MPa),Tan Delta,Frequency (Hz),Drive Force (N),Amplitude (µm),Strain (%),Displacement (µm),Static Force (N),Position (mm),Length (mm),Force (N),Stiffness (N/m),GCA Pressure (kPa gauge),,,,
10.12683,-10.05449,1847.494,62.79527,1.179827,0.03398942,1,2.854673,25.00259,0.06386094,13221.77,2.19E-07,13.22177,0,3.144779,125778.1,1.5169,,,,
11.10383,-10.05338,1852.284,60.5235,1.182787,0.03267508,1.3,2.862411,25.0005,0.0638556,13221.82,3.28E-06,13.22182,0,3.152668,126104.2,1.58585,,,,
12.30583,-10.06601,1857.321,58.812,1.185918,0.03166496,1.6,2.868992,24.9987,0.063851,13221.92,2.7E-06,13.22192,0,3.161013,126447.1,1.6548,,,,
12.68284,-10.06885,1862.652,57.11445,1.189413,0.03066297,2,2.87628,25.0006,0.06385588,13221.94,2.19E-06,13.22194,0,3.170328,126810.1,1.58585,,,,
12.9265,-10.07098,1867.623,55.68493,1.19258,0.02981594,2.5,2.882544,25.00047,0.06385552,13221.96,2.19E-06,13.22196,0,3.17877,127148.4,1.58585,,,,
13.9285,-10.05866,1872.999,54.27696,1.195982,0.02897864,3.2,2.889,24.99981,0.06385383,13222.03,1.82E-06,13.22203,0,3.187838,127514.5,1.6548,,,,
14.3055,-10.06211,1882.063,52.34714,1.201788,0.0278137,5,2.898536,25.00022,0.06385488,13222.05,1.53E-06,13.22205,0,3.203316,128131.5,1.72375,,,,
15.2825,-10.05818,1887.283,51.37876,1.20508,0.02722366,6.3,2.90151,24.99934,0.06385266,13222.12,1.02E-06,13.22212,0,3.21209,128487,1.72375,,,,
16.4845,-10.05184,1891.989,50.55606,1.208093,0.02672112,7.9,2.9024,24.9995,0.06385305,13222.22,2.19E-07,13.22222,0,3.22012,128807.4,1.72375,,,,
16.8615,-10.02882,1896.769,50.11102,1.21111,0.02641914,10,2.899735,24.99878,0.06385122,13222.24,0,13.22224,0,3.228162,129132.8,1.72375,,,,
17.38016,-10.03422,1901.181,49.76394,1.213974,0.02617529,12.6,2.89149,24.99974,0.06385367,13222.28,3.28E-06,13.22228,0,3.235795,129433.1,1.72375,,,,
17.99883,-10.03837,1905.374,49.63481,1.216679,0.0260499,15.8,2.875048,25.0003,0.06385509,13222.32,3.06E-06,13.22232,0,3.243004,129718.6,1.72375,,,,
18.25083,-10.04032,1908.951,49.32092,1.218955,0.02583666,19,2.852599,25.00015,0.0638547,13222.33,2.63E-06,13.22234,0,3.249072,129962.1,1.58585,,,,
18.40284,-10.02559,1913.028,49.809,1.221538,0.02603674,25,2.793717,24.99974,0.06385364,13222.34,2.63E-06,13.22234,0,3.255957,130239.6,1.58585,,,,
18.9215,-10.01146,1918.059,52.50719,1.224703,0.02737516,31.6,2.709806,24.99876,0.06385115,13222.36,2.41E-06,13.22236,0,3.264392,130582.2,1.58585,,,,
19.54017,-10.01193,1921.927,52.51849,1.227228,0.02732595,39.8,2.573307,24.99988,0.06385401,13222.39,2.19E-06,13.22239,0,3.271123,130845.5,1.58585,,,,
19.79216,-10.00353,1922.619,51.98872,1.227719,0.02704056,50,2.354284,25.00088,0.06385657,13222.39,2.19E-06,13.22239,0,3.272432,130892.7,1.58585,,,,
19.94416,-9.989999,1929.491,58.00865,1.232142,0.03006423,63,2.017348,25.0016,0.06385842,13222.41,2.19E-06,13.22241,0,3.284222,131360.5,1.58585,,,,
20.18766,-10.00444,1925.233,49.19896,1.229418,0.0255548,79.5,1.453388,25.00148,0.06385812,13222.42,2.04E-06,13.22241,0,3.27696,131070.6,1.58585,,,,
20.38316,-9.991412,1919.004,62.99994,1.225494,0.0328295,100,0.5729298,25.0026,0.06386098,13222.42,2.04E-06,13.22241,0,3.266504,130646.5,1.58585,,,,
32.25184,-5.086306,1770.852,68.65194,1.13083,0.03876773,1,2.747436,25.00141,0.06385792,13222.88,1.97E-06,13.22288,0,3.014178,120560.3,1.31005,,,,
33.22883,-5.086785,1776.261,66.02,1.134324,0.03716795,1.3,2.756125,25.0023,0.0638602,13222.94,1.46E-06,13.22294,0,3.023492,120928.5,1.44795,,,,
34.43083,-5.088334,1781.063,63.73451,1.13736,0.03578453,1.6,2.7624,25.00164,0.06385851,13223.03,8.02E-07,13.22303,0,3.031586,121255.5,1.58585,,,,
34.80784,-5.090502,1786.578,61.4902,1.140874,0.03441785,2,2.76978,25.00145,0.06385804,13223.07,4.38E-07,13.22307,0,3.04095,121631,1.6548,,,,
35.0515,-5.091977,1791.963,59.56944,1.14428,0.03324257,2.5,2.776618,25.00075,0.06385623,13223.09,2.19E-07,13.22309,0,3.050029,121997.5,1.58585,,,,
36.0535,-5.084522,1797.162,57.66479,1.147628,0.0320866,3.2,2.782908,25.00136,0.0638578,13223.19,2.92E-06,13.22319,0,3.058953,122351.4,1.72375,,,,
36.4305,-5.101648,1806.687,54.94014,1.153662,0.03040934,5,2.793052,25.00031,0.06385512,13223.22,2.63E-06,13.22323,0,3.075037,122999.9,1.72375,,,,
37.4075,-5.10065,1811.697,53.72253,1.156898,0.02965316,6.3,2.795879,25.0011,0.06385715,13223.32,2.04E-06,13.22332,0,3.083661,123341,1.86165,,,,
38.6095,-5.12504,1816.061,52.76461,1.159703,0.02905442,7.9,2.796339,25.0015,0.06385815,13223.45,9.48E-07,13.22345,0,3.091139,123638.2,1.9306,,,,
39.005,-5.106778,1820.714,51.99976,1.162593,0.0285601,10,2.79345,24.99976,0.0638537,13223.5,4.38E-07,13.2235,0,3.098842,123954.9,1.9306,,,,
39.60867,-5.101337,1825,51.42447,1.165345,0.02817779,12.6,2.784991,25.00008,0.0638545,13223.57,2.19E-06,13.22357,0,3.106177,124246.7,1.86165,,,,
40.3125,-5.065369,1829.028,50.99931,1.167948,0.0278833,15.8,2.768354,25.00075,0.06385625,13223.64,2.77E-06,13.22364,0,3.113116,124520.9,1.7927,,,,
40.583,-5.058828,1832.714,50.84814,1.170238,0.02774472,19,2.746011,24.99937,0.06385272,13223.67,2.63E-06,13.22367,0,3.119218,124771.9,1.7927,,,,
40.7535,-5.054016,1837.014,51.2523,1.173035,0.02789979,25,2.687669,25.00047,0.06385554,13223.69,2.41E-06,13.22369,0,3.126675,125064.6,1.6548,,,,
41.35717,-5.028446,1842,53.59293,1.176051,0.02909497,31.6,2.603435,24.9969,0.0638464,13223.73,2.19E-06,13.22373,0,3.134713,125404.1,1.6548,,,,
42.06116,-5.013329,1845.914,53.34042,1.178703,0.02889648,39.8,2.467275,25.00015,0.0638547,13223.76,1.9E-06,13.22376,0,3.141783,125670.6,1.58585,,,,
42.33166,-4.997697,1847.009,52.81031,1.17938,0.02859234,50,2.248774,24.99967,0.06385348,13223.76,1.75E-06,13.22377,0,3.143586,125745.1,1.5169,,,,
42.50217,-4.967912,1853.924,59.80883,1.183817,0.03226067,63,1.91205,25.00013,0.06385464,13223.78,1.53E-06,13.22378,0,3.155413,126215.9,1.58585,,,,
42.81766,-4.98971,1849.99,50.25208,1.181298,0.02716343,79.5,1.348642,25,0.06385432,13223.8,1.46E-06,13.2238,0,3.1487,125948,1.58585,,,,
43.034,-4.982457,1843.222,65.28846,1.177271,0.03542083,100,0.4698731,25.00624,0.06387024,13223.83,1.31E-06,13.22383,0,3.137964,125487.3,1.5169,,,,
54.32033,-0.1217382,1675.446,77.34851,1.069842,0.04616592,1,2.612449,24.99994,0.06385418,13225.08,1.75E-06,13.22508,0,2.851619,114065,1.03425,,,,
55.29734,-0.1476354,1683.62,73.67654,1.074997,0.0437608,1.3,2.625254,24.99844,0.06385033,13225.08,1.75E-06,13.22508,0,2.865358,114621.5,1.2411,,,,
56.49934,-0.1212403,1690.784,70.4104,1.079582,0.04164362,1.6,2.634912,24.99868,0.06385094,13225.1,1.75E-06,13.2251,0,2.877579,115109.3,1.44795,,,,
56.87634,-0.1155937,1697.577,67.42178,1.08402,0.03971648,2,2.644228,25.00101,0.0638569,13225.12,1.53E-06,13.22512,0,2.889409,115571.7,1.44795,,,,
57.12,-0.121871,1703.897,64.8707,1.088034,0.03807197,2.5,2.65239,25.00052,0.06385566,13225.14,1.31E-06,13.22514,0,2.90011,116001.9,1.5169,,,,
58.122,-0.1033225,1710.428,62.33926,1.092164,0.0364466,3.2,2.660472,24.99958,0.06385324,13225.22,8.02E-07,13.22522,0,2.911115,116446.6,1.6548,,,,
58.499,-0.1087638,1721.194,58.61824,1.09904,0.03405671,5,2.67251,24.99961,0.06385334,13225.26,4.38E-07,13.22526,0,2.929444,117179.6,1.72375,,,,
59.476,-0.1223641,1727.127,56.9404,1.102818,0.03296828,6.3,2.676538,24.99937,0.06385271,13225.35,2.19E-06,13.22535,0,2.939513,117583.5,1.7927,,,,
60.678,-0.1649506,1732.25,55.48186,1.106161,0.03202879,7.9,2.678208,25.00101,0.06385691,13225.5,2.04E-06,13.22551,0,2.948425,117932.2,2.2064,,,,
61.055,-0.1578701,1737.471,54.4384,1.109439,0.03133198,10,2.676193,24.99974,0.06385365,13225.56,1.53E-06,13.22556,0,2.957161,118287.7,2.13745,,,,
61.65883,-0.1479999,1742.201,53.65014,1.112485,0.03079445,12.6,2.668413,25.00032,0.06385512,13225.64,8.75E-07,13.22564,0,2.96528,118609.7,2.0685,,,,
62.36266,-0.1273275,1746.66,52.98938,1.115355,0.03033754,15.8,2.652402,25.00083,0.06385645,13225.74,1.46E-07,13.22574,0,2.972932,118913.3,1.99955,,,,
62.63316,-0.1015038,1750.513,52.67662,1.117778,0.0300921,19,2.630359,24.99998,0.0638543,13225.78,3.28E-06,13.22578,0,2.979388,119175.6,1.9306,,,,
62.80366,-0.09377453,1754.961,52.87579,1.120744,0.03012932,25,2.572436,25.00279,0.06386145,13225.79,3.28E-06,13.22579,0,2.987294,119478.4,1.86165,,,,
63.4075,-0.07007157,1760.31,54.7061,1.123978,0.03107753,31.6,2.488753,24.99875,0.06385113,13225.86,2.55E-06,13.22586,0,2.995915,119842.6,1.72375,,,,
64.1115,-0.03542297,1764.676,54.46036,1.126911,0.0308614,39.8,2.353281,25.00198,0.0638594,13225.92,2.12E-06,13.22592,0,3.003733,120139.8,1.6548,,,,
64.382,-6.82E-03,1766.034,54.24309,1.127745,0.03071463,50,2.135168,25.00124,0.0638575,13225.94,1.97E-06,13.22594,0,3.005956,120232.3,1.58585,,,,
64.5525,-5.29E-03,1773.602,61.36413,1.132533,0.03459859,63,1.799481,25.00025,0.06385496,13225.95,1.97E-06,13.22595,0,3.018718,120747.5,1.58585,,,,
64.868,0.01177054,1770.434,51.33331,1.130472,0.02899475,79.5,1.237206,24.9994,0.06385279,13225.96,1.75E-06,13.22596,0,3.013224,120531.8,1.58585,,,,
65.08533,0.009342522,1764.765,66.5989,1.127088,0.03773812,100,0.3637555,25.00465,0.0638662,13226.03,1.09E-06,13.22603,0,3.004205,120145.9,1.58585,,,,
77.037,4.905624,1584.899,86.6178,1.012092,0.05465192,1,2.48386,25.00161,0.06385844,13227.46,2.19E-07,13.22746,0,2.697688,107900.6,1.17215,,,,
78.014,4.934476,1593.512,82.19098,1.017623,0.05157852,1.3,2.49748,25.00238,0.06386041,13227.49,0,13.22749,0,2.71243,108486.9,1.2411,,,,
79.216,4.937122,1600.804,78.43222,1.022253,0.04899552,1.6,2.507206,25.00172,0.06385871,13227.55,3.14E-06,13.22755,0,2.72477,108983.3,1.44795,,,,
79.593,4.939498,1608.478,74.65787,1.027124,0.04641522,2,2.517562,25.001,0.06385687,13227.57,2.99E-06,13.22757,0,2.737754,109505.8,1.44795,,,,
79.83668,4.92825,1615.775,71.28491,1.031786,0.04411809,2.5,2.527193,25.00105,0.063857,13227.58,2.85E-06,13.22758,0,2.750181,110002.6,1.44795,,,,
80.83868,4.908662,1623.016,67.96821,1.036407,0.04187773,3.2,2.536355,25.001,0.06385688,13227.64,2.48E-06,13.22765,0,2.762499,110495.5,1.5169,,,,
81.21568,4.905059,1635.118,63.10033,1.044102,0.0385907,5,2.55031,25.00019,0.0638548,13227.68,1.97E-06,13.22768,0,2.783008,111319.5,1.58585,,,,
82.19266,4.910288,1641.365,60.72488,1.048128,0.03699658,6.3,2.55482,25.0011,0.06385713,13227.76,1.46E-06,13.22776,0,2.793742,111744.8,1.58585,,,,
83.39468,4.916359,1646.827,58.89582,1.051603,0.03576321,7.9,2.556805,25.00077,0.0638563,13227.86,8.02E-07,13.22786,0,2.803002,112116.6,1.6548,,,,
83.79016,4.917094,1652.338,57.31711,1.055124,0.0346885,10,2.555366,25.00082,0.06385642,13227.89,2.92E-07,13.22789,0,2.812386,112491.8,1.6548,,,,
84.39384,4.931782,1657.56,56.17751,1.05846,0.0338917,12.6,2.548294,25.00085,0.0638565,13227.92,1.46E-07,13.22792,0,2.821279,112847.3,1.58585,,,,
85.09766,4.932113,1662.415,55.12437,1.061547,0.03315922,15.8,2.532784,25.00055,0.06385572,13227.97,3.28E-06,13.22797,0,2.829508,113177.8,1.58585,,,,
85.36816,4.939183,1666.496,54.5426,1.064131,0.03272892,19,2.511118,25.00004,0.06385442,13227.99,3.06E-06,13.22799,0,2.836396,113455.6,1.58585,,,,
85.5385,4.95543,1671.48,54.33058,1.067246,0.03250447,25,2.453591,24.99844,0.06385034,13228,3.06E-06,13.228,0,2.844698,113795,1.58585,,,,
86.14234,4.949608,1677.25,56.28138,1.070955,0.03355575,31.6,2.371048,24.99903,0.06385186,13228.03,2.85E-06,13.22803,0,2.854585,114187.8,1.58585,,,,
86.84618,4.95676,1682.244,55.42912,1.07421,0.03294952,39.8,2.236373,25.00058,0.0638558,13228.07,2.33E-06,13.22808,0,2.863261,114527.8,1.5169,,,,
87.11668,4.949158,1684.146,55.19501,1.07539,0.03277328,50,2.019101,24.99976,0.0638537,13228.07,2.41E-06,13.22807,0,2.866406,114657.3,1.5169,,,,
87.30718,4.95127,1691.553,62.15803,1.080089,0.03674613,63,1.683318,24.99906,0.06385193,13228.08,2.19E-06,13.22808,0,2.878932,115161.6,1.58585,,,,
87.6225,4.965773,1689.02,52.1845,1.078495,0.03089631,79.5,1.122312,24.99959,0.06385328,13228.1,2.19E-06,13.2281,0,2.874682,114989.2,1.5169,,,,
87.84132,4.955208,1684.343,67.23804,1.076232,0.03991945,100,0.2575459,25.01642,0.06389627,13228.28,6.57E-07,13.22828,0,2.86865,114670.7,1.44795,,,,
99.837,9.891178,1485.878,96.81356,0.9488081,0.06515576,1,2.341692,25.00028,0.06385503,13229.87,2.19E-06,13.22987,0,2.529007,101159.2,1.1032,,,,
100.814,9.920657,1496.421,91.60131,0.9556218,0.06121359,1.3,2.35843,25.00241,0.06386048,13229.9,1.97E-06,13.2299,0,2.547169,101876.9,1.2411,,,,
102.016,9.935004,1505.371,87.29366,0.9612897,0.05798816,1.6,2.370471,25.00118,0.06385735,13229.94,1.46E-06,13.22994,0,2.562276,102486.2,1.31005,,,,
102.393,9.93741,1514.571,82.9967,0.9671649,0.0547988,2,2.383094,25.00118,0.06385735,13229.95,1.31E-06,13.22995,0,2.577936,103112.6,1.379,,,,
102.6367,9.940388,1523.278,78.92141,0.9726837,0.05181026,2.5,2.39464,25.00012,0.06385464,13229.96,1.31E-06,13.22996,0,2.592646,103705.3,1.379,,,,
103.6387,9.922538,1531.854,74.91734,0.9781806,0.04890632,3.2,2.405783,25.00066,0.063856,13230.01,1.02E-06,13.23001,0,2.607298,104289.2,1.44795,,,,
104.0157,9.910946,1546.004,68.52582,0.9872038,0.0443245,5,2.422808,25.00035,0.06385522,13230.02,8.75E-07,13.23002,0,2.63135,105252.5,1.5169,,,,
104.9927,9.913832,1553.259,65.50711,0.9918656,0.04217398,6.3,2.428665,25.00108,0.06385708,13230.08,5.84E-07,13.23008,0,2.643775,105746.4,1.44795,,,,
106.1947,9.918594,1559.579,62.9003,0.9958749,0.04033158,7.9,2.431848,25.0004,0.06385536,13230.14,2.19E-06,13.23014,0,2.654462,106176.8,1.5169,,,,
106.5902,9.924231,1565.755,60.76352,0.9998309,0.03880782,10,2.431392,25.00072,0.06385618,13230.17,3.06E-06,13.23017,0,2.665007,106597.2,1.44795,,,,
107.194,9.928937,1571.446,58.98278,1.003456,0.03753409,12.6,2.424969,25.0005,0.06385561,13230.19,3.06E-06,13.23019,0,2.674669,106984.6,1.44795,,,,
107.8978,9.934966,1576.821,57.47033,1.006869,0.03644696,15.8,2.410228,25.00001,0.06385435,13230.23,2.63E-06,13.23023,0,2.683765,107350.6,1.44795,,,,
108.1684,9.944321,1581.188,56.59319,1.009703,0.03579156,19,2.389142,25.00114,0.06385724,13230.24,2.63E-06,13.23024,0,2.69132,107647.9,1.44795,,,,
108.3388,9.947819,1586.743,55.67349,1.013223,0.03508665,25,2.332586,25.00048,0.06385556,13230.24,2.63E-06,13.23024,0,2.700703,108026,1.5169,,,,
108.9427,9.944098,1592.897,57.70124,1.01712,0.0362241,31.6,2.250524,24.99966,0.06385344,13230.27,2.41E-06,13.23027,0,2.711089,108445,1.5169,,,,
109.6465,9.959939,1598.161,56.4823,1.020481,0.03534207,39.8,2.116144,24.99966,0.06385346,13230.28,2.41E-06,13.23028,0,2.720049,108803.4,1.44795,,,,
109.917,9.979474,1600.237,56.19605,1.021817,0.03511734,50,1.899284,24.99991,0.0638541,13230.3,2.19E-06,13.2303,0,2.723608,108944.7,1.5169,,,,
110.1075,9.962452,1608.086,62.63993,1.026817,0.03895309,63,1.564376,24.99963,0.06385338,13230.3,2.19E-06,13.2303,0,2.736938,109479.2,1.44795,,,,
110.423,9.956711,1605.87,52.68554,1.025361,0.03280809,79.5,1.003955,24.99862,0.0638508,13230.32,2.04E-06,13.23032,0,2.733056,109328.3,1.44795,,,,
110.6434,9.960087,1602.095,67.6944,1.024013,0.04225368,100,0.1592368,25.02458,0.0639171,13230.61,3.06E-06,13.23061,0,2.729462,109071.2,1.44795,,,,
122.8287,14.87465,1382.797,106.539,0.8830176,0.077046,1,2.192592,25.0012,0.06385738,13232.48,2.19E-06,13.23248,0,2.353646,94141.32,1.17215,,,,
123.8057,14.89788,1395.986,101.2697,0.8914657,0.07254347,1.3,2.213383,25.00192,0.06385922,13232.49,2.19E-06,13.23249,0,2.376164,95039.26,1.17215,,,,
125.0077,14.92687,1406.925,96.75882,0.8984228,0.06877326,1.6,2.22834,25.00112,0.06385719,13232.5,1.97E-06,13.2325,0,2.394707,95783.99,1.2411,,,,
125.3847,14.92372,1418.023,91.99688,0.905521,0.06487687,2,2.243758,25.00144,0.063858,13232.51,1.97E-06,13.23251,0,2.413627,96539.54,1.2411,,,,
125.6282,14.93832,1428.43,87.37991,0.9121468,0.06117199,2.5,2.25782,25.00088,0.0638566,13232.51,1.97E-06,13.23251,0,2.431288,97248.09,1.2411,,,,
126.6302,14.92766,1439.021,82.63694,0.918911,0.05742579,3.2,2.271881,25.00092,0.06385668,13232.53,1.97E-06,13.23253,0,2.449318,97969.12,1.31005,,,,
127.0072,14.93432,1457.208,74.55179,0.9305139,0.05116074,5,2.292935,25.00065,0.06385598,13232.54,1.75E-06,13.23254,0,2.480245,99207.24,1.44795,,,,
127.9842,14.92687,1464.638,71.16114,0.9352514,0.04858618,6.3,2.300598,25.00045,0.06385548,13232.57,1.68E-06,13.23257,0,2.492872,99713.09,1.44795,,,,
129.1862,14.92293,1471.936,67.85778,0.9399275,0.04610103,7.9,2.305414,25.00087,0.06385654,13232.61,1.24E-06,13.23261,0,2.505337,100210,1.44795,,,,
129.5816,14.91984,1478.96,65.09107,0.9443882,0.04401137,10,2.306102,25.00022,0.06385488,13232.61,1.09E-06,13.23262,0,2.517226,100688.2,1.44795,,,,
130.1855,14.9304,1485.597,62.67696,0.9486084,0.04218974,12.6,2.301062,24.99975,0.06385369,13232.64,8.75E-07,13.23264,0,2.528475,101140,1.44795,,,,
130.8893,14.93658,1491.683,60.47762,0.9525234,0.04054321,15.8,2.287458,25.0005,0.0638556,13232.66,8.02E-07,13.23266,0,2.53891,101554.4,1.44795,,,,
131.1598,14.93326,1496.604,59.07847,0.9556375,0.03947502,19,2.267004,24.99977,0.06385374,13232.66,6.57E-07,13.23266,0,2.547211,101889.4,1.44795,,,,
131.3302,14.94675,1502.609,57.94169,0.9594856,0.03856072,25,2.211237,25.00013,0.06385464,13232.67,6.57E-07,13.23267,0,2.557468,102298.2,1.379,,,,
131.934,14.95471,1508.933,58.91846,0.9634457,0.03904645,31.6,2.129322,24.99811,0.0638495,13232.67,6.57E-07,13.23267,0,2.568024,102728.7,1.379,,,,
132.6378,14.95385,1514.647,57.3548,0.967167,0.03786678,39.8,1.995849,24.99999,0.0638543,13232.69,5.11E-07,13.2327,0,2.577942,103117.7,1.379,,,,
132.9283,14.94511,1517.239,56.78352,0.9688371,0.03742557,50,1.779824,25.00038,0.0638553,13232.72,3.65E-07,13.23272,0,2.582394,103294.2,1.31005,,,,
133.1186,14.95696,1525.126,62.30138,0.973842,0.04084998,63,1.445022,24.99956,0.0638532,13232.71,4.38E-07,13.23271,0,2.595734,103831.2,1.31005,,,,
133.4342,14.96345,1523.198,52.76142,0.972564,0.0346386,79.5,0.8853966,24.99837,0.06385016,13232.73,2.92E-07,13.23273,0,2.592328,103699.9,1.31005,,,,
133.708,14.98435,1519.517,67.40156,0.9726922,0.04435723,100,0.1087539,25.06223,0.06401325,13232.77,0,13.23277,0,2.59267,103449.3,1.379,,,,
145.7953,19.86165,1278.763,115.1094,0.8165806,0.09001625,1,2.040626,25.00108,0.0638571,13234.98,3.28E-06,13.23498,0,2.176561,87058.66,0.89635,,,,
146.7724,19.86865,1295.165,109.7836,0.8269978,0.08476422,1.3,2.064606,24.99937,0.06385271,13234.96,0,13.23496,0,2.204327,88175.32,1.1032,,,,
147.9744,19.89448,1307.098,105.6673,0.834649,0.08084122,1.6,2.082752,25.00032,0.06385516,13234.94,0,13.23495,0,2.224721,88987.69,1.2411,,,,
148.3513,19.90688,1320.014,100.9772,0.842893,0.07649702,2,2.100976,25.0002,0.06385484,13234.95,0,13.23495,0,2.246695,89867.07,1.2411,,,,
148.595,19.89672,1332.176,96.34664,0.8506861,0.07232272,2.5,2.117793,25.001,0.06385687,13234.94,0,13.23494,0,2.267468,90695.09,1.2411,,,,
149.597,19.92758,1344.576,91.40109,0.8586025,0.06797765,3.2,2.134553,25.00096,0.06385678,13234.93,2.19E-07,13.23493,0,2.288568,91539.22,1.2411,,,,
149.974,19.9272,1365.899,82.46337,0.8722389,0.06037295,5,2.160188,25.00153,0.06385822,13234.92,2.19E-07,13.23492,0,2.324915,92990.93,1.2411,,,,
150.951,19.94578,1374.719,78.47682,0.8778266,0.05708572,6.3,2.169902,25.00026,0.06385499,13234.93,2.19E-07,13.23493,0,2.33981,93591.4,1.2411,,,,
152.153,19.9414,1383.455,74.6563,0.8833619,0.05396367,7.9,2.176693,24.99904,0.0638519,13234.94,2.19E-07,13.23494,0,2.354564,94186.13,1.2411,,,,
152.5485,19.92236,1391.681,71.0575,0.8887078,0.05105878,10,2.179399,25.00168,0.0638586,13234.93,2.19E-07,13.23494,0,2.368812,94746.15,1.31005,,,,
153.1523,19.94216,1399.43,67.75447,0.8935694,0.04841574,12.6,2.175804,24.99924,0.06385237,13234.94,2.19E-07,13.23494,0,2.381771,95273.76,1.31005,,,,
153.8562,19.93568,1406.454,65.11694,0.8980882,0.04629868,15.8,2.163594,25.00019,0.0638548,13234.95,0,13.23495,0,2.393816,95751.91,1.2411,,,,
154.1266,19.93478,1411.968,63.06703,0.9015844,0.04466604,19,2.14399,24.99949,0.06385302,13234.94,1.46E-07,13.23494,0,2.403134,96127.34,1.2411,,,,
154.2972,19.94492,1418.679,61.00542,0.9059628,0.04300156,25,2.089459,25.00206,0.06385959,13234.94,1.46E-07,13.23494,0,2.414805,96584.22,1.31005,,,,
154.901,19.95401,1425.529,61.79405,0.910228,0.04334816,31.6,2.008306,24.99908,0.06385196,13234.94,7.3E-08,13.23495,0,2.426174,97050.54,1.31005,,,,
155.6048,19.95177,1432.203,59.32963,0.9144889,0.04142542,39.8,1.876164,24.99905,0.0638519,13234.96,0,13.23496,0,2.437531,97504.95,1.2411,,,,
155.8953,19.953,1435.437,58.14482,0.9166086,0.04050671,50,1.661185,25.00055,0.06385572,13234.99,3.28E-06,13.23499,0,2.443181,97725.11,1.2411,,,,
156.0858,19.94783,1443.545,63.08892,0.9217211,0.04370415,63,1.326847,24.99878,0.06385121,13234.96,0,13.23496,0,2.456808,98277.12,1.2411,,,,
156.4015,19.97332,1441.938,53.23708,0.920687,0.0369205,79.5,0.768172,24.99856,0.06385066,13234.97,1.09E-06,13.23497,0,2.454052,98167.71,1.2411,,,,
