Time (min),Temperature (C),Storage Modulus (MPa),Loss Modulus (MPa),Stress (MPa),Tan Delta,Frequency (Hz),Drive Force (N),Amplitude (µm),Strain (%),Displacement (µm),Static Force (N),Position (mm),Length (mm),Force (N),Stiffness (N/m),GCA Pressure (kPa gauge),,,,
331.387,59.99232,492.0561,87.02461,0.3142056,0.1768591,1,0.8278751,25.00052,0.06385564,13260.32,4.38E-07,13.26032,0,0.8375015,33499.37,0.06895,,,,
332.5326,59.99701,506.021,88.24008,0.3231462,0.1743803,1.3,0.8504078,25.00232,0.06386025,13260.39,7.3E-08,13.26039,0,0.8613325,34450.1,0.06895,,,,
333.9033,60.00301,517.4229,89.10009,0.3304253,0.1721997,1.6,0.8685078,25.00215,0.06385982,13260.45,3.06E-06,13.26046,0,0.8807345,35226.35,0.06895,,,,
334.2803,60.00239,530.0535,90.02256,0.3385051,0.1698368,2,0.8884606,25.00318,0.06386244,13260.48,2.92E-06,13.26048,0,0.9022708,36086.24,0.06895,,,,
334.524,60.00758,542.9136,90.88231,0.3466894,0.1673974,2.5,0.9084289,25.00113,0.06385722,13260.47,2.92E-06,13.26047,0,0.9240859,36961.76,0.06895,,,,
335.526,60.00342,557.3466,91.56514,0.3559012,0.1642876,3.2,0.9304524,25.0008,0.06385636,13260.51,2.55E-06,13.26051,0,0.9486392,37944.37,0.06895,,,,
335.903,60.00176,583.7674,92.20843,0.3728122,0.1579541,5,0.9688691,25.00346,0.06386316,13260.51,2.41E-06,13.26052,0,0.9937149,39743.1,0.06895,,,,
336.8798,59.99332,597.678,92.17019,0.381636,0.1542138,6.3,0.9870478,24.99953,0.06385312,13260.53,2.41E-06,13.26053,0,1.017234,40690.14,0.06895,,,,
338.0818,59.99361,611.3671,91.90401,0.3903536,0.1503254,7.9,1.002957,24.99803,0.06384928,13260.54,2.19E-06,13.26054,0,1.040471,41622.1,0.06895,,,,
338.4974,59.98836,625.3122,91.36742,0.3993079,0.1461149,10,1.015756,25.00119,0.06385737,13260.55,2.19E-06,13.26055,0,1.064338,42571.5,0.06895,,,,
339.188,59.97387,638.9116,90.55132,0.4079454,0.1417275,12.6,1.022532,24.99833,0.06385006,13260.56,2.19E-06,13.26056,0,1.087361,43497.34,0.06895,,,,
339.9785,59.97882,652.0705,89.52406,0.416363,0.137292,15.8,1.020901,24.99926,0.06385245,13260.57,1.97E-06,13.26058,0,1.109798,44393.2,0.06895,,,,
340.269,59.97885,662.5339,88.66892,0.4230168,0.133833,19,1.010008,24.99766,0.06384834,13260.58,1.97E-06,13.26058,0,1.127533,45105.56,0.1379,,,,
340.4595,59.97787,677.2939,87.15138,0.432505,0.1286759,25,0.9690022,25.00136,0.0638578,13260.58,1.97E-06,13.26058,0,1.152824,46110.42,0.06895,,,,
341.15,59.98709,691.1738,87.73785,0.4413022,0.1269404,31.6,0.9007499,24.99761,0.06384824,13260.56,2.19E-06,13.26056,0,1.176272,47055.38,0.06895,,,,
341.9406,59.98924,703.8526,84.83172,0.449425,0.1205248,39.8,0.780145,24.99915,0.06385214,13260.57,1.97E-06,13.26057,0,1.197923,47918.56,0.1379,,,,
342.232,59.99386,713.3362,82.48441,0.4554722,0.1156319,50,0.579842,24.9987,0.063851,13260.56,2.19E-06,13.26056,0,1.214042,48564.2,0.1379,,,,
342.425,59.99162,727.659,87.46504,0.4646188,0.1202006,63,0.2821593,24.99877,0.06385118,13260.6,1.97E-06,13.2606,0,1.238422,49539.3,0.06895,,,,
342.8153,59.99624,734.9325,74.47266,0.4692632,0.1013327,79.5,0.3348628,24.99878,0.0638512,13260.6,1.75E-06,13.2606,0,1.250801,50034.48,0.1379,,,,
343.0308,59.99941,743.4575,85.68688,0.4747218,0.1152546,100,1.181071,24.99958,0.06385326,13260.62,1.75E-06,13.26062,0,1.26535,50614.87,0.1379,,,,
355.687,64.996,428.705,78.32663,0.2737637,0.1827052,1,0.7245395,25.00155,0.06385828,13264.25,6.57E-07,13.26425,0,0.7297053,29186.4,0.06895,,,,
356.8326,64.99783,441.1988,79.56774,0.2817411,0.1803444,1.3,0.744772,25.00148,0.0638581,13264.32,2.19E-07,13.26432,0,0.7509688,30036.98,0.06895,,,,
358.0347,64.99765,451.5067,80.52003,0.2883159,0.1783363,1.6,0.7612595,25.00081,0.06385639,13264.39,3.06E-06,13.26439,0,0.7684936,30738.75,0.06895,,,,
358.4116,65.00227,462.8997,81.61474,0.2955822,0.1763119,2,0.7793626,25.00006,0.06385447,13264.41,2.85E-06,13.26441,0,0.7878616,31514.39,0.06895,,,,
358.6553,65.00102,474.4262,82.62718,0.3029497,0.1741623,2.5,0.7974811,25.00066,0.06385601,13264.41,2.85E-06,13.26441,0,0.8074994,32299.12,0.06895,,,,
359.6574,64.9982,487.5012,83.60505,0.311273,0.1714971,3.2,0.8175261,24.99859,0.06385072,13264.43,2.7E-06,13.26443,0,0.829685,33189.27,0.06895,,,,
360.0344,65.00251,511.6602,85.0193,0.3267035,0.1661636,5,0.8527462,24.99896,0.06385166,13264.44,2.63E-06,13.26444,0,0.8708141,34834.02,0.06895,,,,
361.0113,65.00015,524.4612,85.50649,0.3348532,0.1630368,6.3,0.8695496,24.99717,0.0638471,13264.46,2.63E-06,13.26446,0,0.8925369,35705.52,0.06895,,,,
362.2134,64.99978,537.2258,85.725,0.3430148,0.1595698,7.9,0.8843575,24.99803,0.06384928,13264.46,2.41E-06,13.26446,0,0.9142913,36574.54,0.06895,,,,
362.6289,64.99976,550.3721,85.82822,0.3514547,0.1559458,10,0.8961972,25.0013,0.06385766,13264.46,2.41E-06,13.26446,0,0.9367874,37469.54,0.06895,,,,
363.3194,65.00126,563.3324,85.66879,0.3596721,0.1520751,12.6,0.9022504,24.99722,0.06384724,13264.46,2.48E-06,13.26446,0,0.9586906,38351.88,0.06895,,,,
364.1098,64.9997,575.9915,85.35644,0.3677938,0.1481905,15.8,0.9002255,24.99989,0.06385403,13264.45,2.63E-06,13.26445,0,0.9803387,39213.72,0.06895,,,,
364.4004,65.00698,586.2532,84.86925,0.3743187,0.1447655,19,0.8892482,24.99804,0.06384932,13264.43,2.63E-06,13.26443,0,0.9977304,39912.34,0.06895,,,,
364.5908,65.003,600.6619,83.99585,0.383541,0.1398388,25,0.8480142,24.99951,0.06385307,13264.42,2.85E-06,13.26442,0,1.022312,40893.29,0.06895,,,,
365.2815,64.99988,614.572,85.52038,0.3923197,0.1391544,31.6,0.7804328,24.99293,0.06383627,13264.41,2.85E-06,13.26441,0,1.045711,41840.3,0.06895,,,,
366.0725,64.99832,627.33,83.3125,0.4005414,0.1328049,39.8,0.6609442,24.99776,0.06384861,13264.4,2.85E-06,13.2644,0,1.067626,42708.86,0.06895,,,,
366.3641,65.00194,636.933,81.4289,0.4067203,0.1278453,50,0.4633335,25.00068,0.06385606,13264.41,2.85E-06,13.26441,0,1.084096,43362.64,0.06895,,,,
366.559,64.99954,651.4771,86.61004,0.4160772,0.1329441,63,0.1924099,25.00486,0.06386674,13264.49,2.41E-06,13.26449,0,1.109036,44352.82,0.06895,,,,
366.913,65.00092,659.3649,74.5244,0.4210457,0.1130245,79.5,0.4480437,25.00076,0.06385626,13264.49,2.19E-06,13.26449,0,1.122279,44889.81,0.06895,,,,
367.1285,65.0005,667.9259,85.97259,0.4265028,0.1287158,100,1.299561,25.00018,0.0638548,13264.51,2.19E-06,13.26451,0,1.136825,45472.65,0.06895,,,,
380.0037,69.99966,372.4238,70.40766,0.2378166,0.1890526,1,0.6320518,25.00083,0.06385645,13268.66,5.84E-07,13.26866,0,0.6338899,25354.75,0.06895,,,,
381.1493,70.00324,383.87,71.58985,0.2451239,0.186495,1.3,0.650669,25.00064,0.06385598,13268.74,2.19E-06,13.26874,0,0.6533672,26134.02,0.06895,,,,
382.3513,69.9977,393.2322,72.48068,0.2510889,0.1843203,1.6,0.6657032,24.99932,0.06385258,13268.78,3.06E-06,13.26878,0,0.6692666,26771.4,0.06895,,,,
382.7283,69.99355,403.4578,73.49981,0.257636,0.1821747,2,0.6820924,25.00104,0.06385699,13268.79,3.06E-06,13.26879,0,0.6867176,27467.56,0.06895,,,,
382.972,69.99686,413.8104,74.54474,0.2642263,0.1801423,2.5,0.6983809,24.9991,0.06385204,13268.8,2.85E-06,13.2688,0,0.7042838,28172.36,0.06895,,,,
383.974,69.99545,425.6116,75.5895,0.2717378,0.1776021,3.2,0.7165405,24.99691,0.06384644,13268.82,2.85E-06,13.26882,0,0.7243054,28975.8,0.06895,,,,
384.351,70.00428,447.3284,77.4273,0.2856382,0.1730883,5,0.7482971,24.99998,0.06385428,13268.83,2.63E-06,13.26883,0,0.7613564,30454.29,0.06895,,,,
385.328,69.99038,459.0378,78.15356,0.293082,0.1702552,6.3,0.7635376,24.99715,0.06384704,13268.84,2.63E-06,13.26884,0,0.7811978,31251.47,0.06895,,,,
386.53,69.9977,470.741,78.79166,0.300559,0.167378,7.9,0.7768835,24.99756,0.06384809,13268.84,2.63E-06,13.26884,0,0.8011274,32048.22,0.06895,,,,
386.9455,70.00388,482.7932,79.3316,0.3082946,0.164318,10,0.7872259,25.00083,0.06385645,13268.84,2.63E-06,13.26884,0,0.821746,32868.75,0.06895,,,,
387.6362,69.99732,494.8443,79.60688,0.31595,0.1608726,12.6,0.7921411,24.99767,0.06384838,13268.84,2.63E-06,13.26884,0,0.8421512,33689.19,0.06895,,,,
388.4266,69.999,506.6605,79.82562,0.3235026,0.1575525,15.8,0.7889978,24.9983,0.06384998,13268.83,2.63E-06,13.26883,0,0.8622822,34493.64,0.06895,,,,
388.7172,69.99778,516.299,79.86152,0.3296188,0.1546808,19,0.7772928,24.99542,0.06384262,13268.83,2.63E-06,13.26883,0,0.8785848,35149.84,0.06895,,,,
388.9078,70.00186,529.773,79.56949,0.3384002,0.1501954,25,0.7353516,25.00866,0.06387645,13268.82,2.85E-06,13.26882,0,0.9019912,36067.15,0.06895,,,,
389.5985,70.00385,543.1434,81.85124,0.3467008,0.1506991,31.6,0.6673628,24.99138,0.06383229,13268.81,2.85E-06,13.26881,0,0.9241161,36977.4,0.06895,,,,
390.3897,70.0005,555.5291,80.00058,0.3547037,0.1440079,39.8,0.5483086,24.99819,0.0638497,13268.8,2.85E-06,13.2688,0,0.9454474,37820.63,0.06895,,,,
390.682,70.00168,564.8247,78.7925,0.3605803,0.139499,50,0.3540178,24.99413,0.06383934,13268.8,2.85E-06,13.2688,0,0.9611113,38453.48,0.06895,,,,
390.9112,69.99863,579.4056,84.34481,0.370323,0.1455713,63,0.1506174,25.02348,0.0639143,13268.78,3.06E-06,13.26878,0,0.9870801,39446.15,0.06895,,,,
391.2628,69.99718,587.3,72.68218,0.3750144,0.1237564,79.5,0.5580041,24.99986,0.06385398,13268.8,2.85E-06,13.2688,0,0.9995849,39983.61,0.06895,,,,
391.4783,69.99828,596.077,84.60314,0.3806234,0.1419332,100,1.412988,25.00016,0.06385474,13268.81,2.85E-06,13.26881,0,1.014535,40581.14,0.06895,,,,
404.587,74.99392,322.5323,63.07795,0.2060023,0.1955709,1,0.5496518,25.00625,0.06387029,13273.29,1.97E-06,13.27329,0,0.5490903,21958.12,0.06895,,,,
405.7326,74.99597,332.8538,64.2648,0.2125342,0.1930722,1.3,0.5663789,24.99914,0.06385212,13273.35,1.68E-06,13.27336,0,0.5665008,22660.82,0.06895,,,,
406.9347,74.99475,341.3198,65.09226,0.217929,0.1907075,1.6,0.5800332,24.99788,0.06384892,13273.42,9.49E-07,13.27342,0,0.5808804,23237.18,0.06895,,,,
407.3117,75,350.4733,66.01095,0.2238197,0.1883481,2,0.594828,25.00306,0.06386213,13273.44,8.76E-07,13.27344,0,0.5965818,23860.35,0.06895,,,,
407.5553,75.00051,359.7864,66.92425,0.2297346,0.1860111,2.5,0.609464,24.99951,0.06385307,13273.43,8.76E-07,13.27343,0,0.6123478,24494.4,0.06895,,,,
408.5574,75.00275,370.3506,67.8987,0.2364552,0.1833363,3.2,0.625716,24.99686,0.06384632,13273.46,6.57E-07,13.27346,0,0.6302612,25213.61,0.06895,,,,
408.9344,74.99682,389.8059,69.756,0.248872,0.1789506,5,0.6539426,24.99639,0.06384511,13273.46,6.57E-07,13.27346,0,0.6633575,26538.14,0.06895,,,,
409.9113,74.9981,400.2595,70.6332,0.255544,0.1764685,6.3,0.6674066,24.99619,0.06384459,13273.46,6.57E-07,13.27346,0,0.6811418,27249.82,0.06895,,,,
411.1133,74.99665,410.835,71.4222,0.2622967,0.1738464,7.9,0.6790932,24.99626,0.06384479,13273.47,5.84E-07,13.27347,0,0.6991406,27969.8,0.06895,,,,
411.5289,74.99766,421.7275,72.15644,0.269319,0.1710973,10,0.6878282,25.00258,0.0638609,13273.46,6.57E-07,13.27346,0,0.7178581,28711.37,0.06895,,,,
412.2194,74.9974,432.7067,72.78749,0.2762789,0.1682144,12.6,0.6912328,24.99791,0.063849,13273.46,6.57E-07,13.27346,0,0.7364094,29458.84,0.06895,,,,
413.0102,74.99706,443.5474,73.31712,0.2832106,0.1652972,15.8,0.6867681,24.9988,0.06385127,13273.46,6.57E-07,13.27346,0,0.7548858,30196.88,0.06895,,,,
413.3008,74.99356,452.4472,73.61852,0.288899,0.1627119,19,0.6742008,24.9993,0.06385255,13273.45,6.57E-07,13.27345,0,0.7700479,30802.78,0.06895,,,,
413.4916,74.99768,464.9637,74.09769,0.2968404,0.1593623,25,0.6307361,24.99503,0.06384163,13273.45,6.57E-07,13.27345,0,0.7912153,31654.9,0.06895,,,,
414.1826,74.99537,477.329,76.3789,0.3048108,0.1600131,31.6,0.5623292,25.00127,0.06385756,13273.44,6.57E-07,13.27345,0,0.8124599,32496.75,0.06895,,,,
414.9743,75.00007,489.1332,75.26216,0.3122384,0.1538684,39.8,0.4434108,24.99245,0.06383504,13273.44,6.57E-07,13.27344,0,0.8322582,33300.38,0.06895,,,,
415.2674,75.00164,497.6898,74.50625,0.3177903,0.1497042,50,0.2547773,24.99952,0.0638531,13273.48,4.38E-07,13.27348,0,0.8470564,33882.91,0.06895,,,,
415.4765,74.99708,511.8712,80.67974,0.326868,0.1576173,63,0.1803988,25.00122,0.06385745,13273.48,4.38E-07,13.27348,0,0.8712524,34848.39,0.06895,,,,
415.8277,74.9947,519.3869,69.38916,0.3316511,0.1335982,79.5,0.6634288,25.00002,0.06385437,13273.49,4.38E-07,13.2735,0,0.8840019,35360.06,0.06895,,,,
416.0432,74.99814,528.1045,81.68432,0.3372415,0.1546746,100,1.521086,25.00178,0.06385888,13273.51,2.19E-07,13.27351,0,0.8989028,35953.56,0.06895,,,,
429.387,79.99106,277.5609,56.3247,0.1772152,0.2029274,1,0.474675,24.99725,0.0638473,13278.56,1.97E-06,13.27856,0,0.4723594,18896.45,0.06895,,,,
430.5326,79.99606,286.9538,57.44219,0.1832274,0.2001792,1.3,0.4901319,24.99933,0.0638526,13278.62,1.53E-06,13.27862,0,0.4883848,19535.92,0.06895,,,,
431.7347,79.9981,294.598,58.23516,0.188097,0.1976767,1.6,0.5025074,24.9978,0.0638487,13278.66,1.24E-06,13.27867,0,0.5013645,20056.35,0.06895,,,,
432.1117,80.00074,302.827,59.0979,0.1933784,0.1951539,2,0.515809,25.00133,0.06385771,13278.67,1.17E-06,13.27867,0,0.5154419,20616.58,0.06895,,,,
432.3554,79.99844,311.211,59.90802,0.1986999,0.1924998,2.5,0.5289832,24.99727,0.06384735,13278.68,1.09E-06,13.27868,0,0.5296261,21187.36,0.06895,,,,
433.3574,79.99658,320.6656,60.81104,0.2047181,0.18964,3.2,0.5435217,24.99502,0.06384162,13278.7,8.03E-07,13.2787,0,0.5456674,21831.04,0.06895,,,,
433.7344,79.9975,337.975,62.40262,0.2158143,0.1846368,5,0.5684986,25.00031,0.06385512,13278.71,6.57E-07,13.27871,0,0.5752437,23009.47,0.06895,,,,
434.7113,79.9988,347.2746,63.27422,0.2217176,0.1822023,6.3,0.580112,24.99637,0.06384506,13278.72,6.57E-07,13.27872,0,0.5909789,23642.59,0.06895,,,,
436.2524,79.999,356.7447,64.12021,0.2277601,0.179737,7.9,0.5901218,24.99596,0.06384402,13278.71,6.57E-07,13.27871,0,0.6070849,24287.32,0.06895,,,,
436.668,79.9971,366.505,64.87368,0.234031,0.1770063,10,0.5970738,25.0002,0.06385482,13278.71,6.57E-07,13.27871,0,0.6237998,24951.8,0.06895,,,,
437.3587,79.99824,376.2916,65.63778,0.2402606,0.1744333,12.6,0.5987961,24.99815,0.0638496,13278.71,6.57E-07,13.27871,0,0.6404043,25618.08,0.06895,,,,
438.1496,79.99786,386.0748,66.31272,0.2464948,0.1717613,15.8,0.5927532,24.99689,0.06384638,13278.7,7.3E-07,13.2787,0,0.6570212,26284.12,0.06895,,,,
438.4403,79.99298,393.9634,66.80724,0.2515646,0.1695773,19,0.5788174,25.0002,0.06385482,13278.7,1.09E-06,13.2787,0,0.6705348,26821.18,0.06895,,,,
438.6312,80.00054,405.4898,67.51197,0.2589145,0.1664949,25,0.534204,24.9992,0.06385229,13278.69,1.09E-06,13.27869,0,0.6901255,27605.9,0.06895,,,,
439.3225,80.00269,416.6255,70.10124,0.266145,0.1682596,31.6,0.464609,25.0105,0.06388113,13278.68,1.09E-06,13.27868,0,0.7093982,28364.02,0.06895,,,,
440.1145,80.00131,427.5217,69.44256,0.2729396,0.1624305,39.8,0.3459652,24.9953,0.0638423,13278.68,1.09E-06,13.27868,0,0.727509,29105.84,0.06895,,,,
440.4083,79.9998,435.379,68.97441,0.2779776,0.1584238,50,0.1699088,24.99724,0.06384728,13278.7,6.57E-07,13.2787,0,0.7409372,29640.76,0.06895,,,,
440.621,80.00293,448.6714,75.67968,0.2865359,0.168675,63,0.2504338,25.00347,0.06386319,13278.7,6.57E-07,13.2787,0,0.763749,30545.72,0.06895,,,,
440.9365,79.99824,455.6269,64.67268,0.2909431,0.1419422,79.5,0.7636272,25.00048,0.06385556,13278.72,6.57E-07,13.27872,0,0.7754962,31019.25,0.06895,,,,
441.152,79.9971,463.8089,77.1855,0.2961584,0.1664166,100,1.623745,24.9997,0.06385356,13278.74,4.38E-07,13.27874,0,0.7893975,31576.28,0.06895,,,,
452.8787,84.99454,237.0763,49.81956,0.1513858,0.2101414,1,0.4069678,25.00038,0.0638553,13284.14,2.92E-06,13.28414,0,0.4035122,16140.24,0.06895,,,,
453.8556,85.0008,245.4558,50.94272,0.1567399,0.2075434,1.3,0.4208061,25.00092,0.06385665,13284.21,2.41E-06,13.28421,0,0.4177834,16710.73,0.06895,,,,
455.0576,84.99412,252.3084,51.76036,0.1610958,0.2051472,1.6,0.4319344,24.99782,0.06384877,13284.28,1.82E-06,13.28428,0,0.429394,17177.25,0.06895,,,,
455.4347,84.99545,259.7278,52.56112,0.1658542,0.20237,2,0.4439424,25.00103,0.06385696,13284.29,1.75E-06,13.28429,0,0.4420774,17682.37,0.06895,,,,
455.6783,84.99432,267.1756,53.33086,0.170608,0.1996097,2.5,0.4557238,25.00072,0.06385615,13284.3,1.53E-06,13.2843,0,0.4547485,18189.42,0.06895,,,,
456.6803,84.99689,275.656,54.13614,0.1759888,0.1963902,3.2,0.4686776,24.9958,0.0638436,13284.34,1.31E-06,13.28434,0,0.4690903,18766.77,0.06895,,,,
457.0574,84.99842,291.0621,55.57269,0.1858704,0.1909306,5,0.4906547,25.00196,0.06385934,13284.35,1.31E-06,13.28435,0,0.4954294,19815.62,0.06895,,,,
458.0344,85.00106,299.3595,56.32182,0.1911274,0.188141,6.3,0.5006676,24.99652,0.06384542,13284.35,1.31E-06,13.28435,0,0.5094418,20380.51,0.06895,,,,
459.5754,85.00242,307.7655,57.06155,0.1964835,0.1854059,7.9,0.5089864,24.99516,0.06384197,13284.34,1.31E-06,13.28434,0,0.5237183,20952.79,0.06895,,,,
459.991,85.00759,316.439,57.76928,0.2020455,0.1825605,10,0.5142187,24.9982,0.06384974,13284.32,1.53E-06,13.28432,0,0.5385437,21543.29,0.06895,,,,
460.682,85.00022,325.1201,58.5065,0.2075639,0.1799535,12.6,0.5142356,24.99527,0.06384224,13284.33,1.46E-06,13.28433,0,0.5532528,22134.3,0.06895,,,,
461.4728,84.99554,333.7843,59.25648,0.2131356,0.1775292,15.8,0.506655,24.99999,0.0638543,13284.32,1.53E-06,13.28432,0,0.5681038,22724.16,0.06895,,,,
461.7638,84.99838,340.9964,59.77251,0.2177036,0.1752878,19,0.4915935,24.9957,0.06384336,13284.31,1.53E-06,13.28431,0,0.5802796,23215.17,0.06895,,,,
461.955,84.99926,350.9053,60.60996,0.2240921,0.1727246,25,0.4448742,25.00267,0.06386114,13284.3,1.53E-06,13.2843,0,0.5973079,23889.76,0.06895,,,,
462.6467,85.00032,361.2536,63.5727,0.2307818,0.1759781,31.6,0.3748224,25.01146,0.0638836,13284.28,1.75E-06,13.28428,0,0.6151389,24594.28,0.06895,,,,
463.4394,85.00313,371.1391,62.8936,0.2369,0.1694609,39.8,0.2570744,24.99068,0.06383051,13284.26,1.97E-06,13.28426,0,0.6314468,25267.3,0.06895,,,,
463.7702,84.99996,378.1518,62.66292,0.241565,0.1657084,50,0.1154157,25.01023,0.06388044,13284.26,1.97E-06,13.28426,0,0.6438813,25744.72,0.06895,,,,
463.9824,84.99962,390.487,69.42453,0.2493217,0.1777896,63,0.3296196,24.99789,0.06384892,13284.26,1.9E-06,13.28426,0,0.6645562,26584.5,0.06895,,,,
464.2978,85.00265,396.577,58.9732,0.253231,0.1487055,79.5,0.8573706,24.99994,0.06385418,13284.28,1.75E-06,13.28428,0,0.6749762,26999.11,0.06895,,,,
464.5118,85.00226,404.0825,71.34602,0.2580206,0.176563,100,1.719804,24.99966,0.06385346,13284.31,1.53E-06,13.28431,0,0.6877429,27510.09,0.06895,,,,
478.1787,89.98397,201.1684,43.47911,0.1284636,0.2161329,1,0.3464456,25.00173,0.06385874,13290.72,2.85E-06,13.29073,0,0.3424142,13695.62,0.06895,,,,
479.3243,89.98795,208.6166,44.66354,0.133213,0.2140939,1.3,0.3588095,25.00043,0.06385542,13290.83,2.04E-06,13.29083,0,0.3550736,14202.7,0.06895,,,,
480.5263,90.00181,214.7056,45.55958,0.1370783,0.2121956,1.6,0.3687561,24.99626,0.06384478,13290.88,1.68E-06,13.29088,0,0.3653762,14617.24,0.06895,,,,
480.9033,90.0014,221.2879,46.45313,0.1413226,0.2099217,2,0.3795348,25.00367,0.0638637,13290.89,1.53E-06,13.29089,0,0.3766894,15065.36,0.06895,,,,
481.147,90.00281,227.9894,47.23337,0.1455767,0.2071735,2.5,0.3900894,24.99924,0.06385239,13290.9,1.53E-06,13.2909,0,0.3880284,15521.61,0.06895,,,,
482.149,90.00152,235.6,48.01813,0.1504166,0.2038121,3.2,0.4017141,24.99597,0.06384404,13290.92,1.31E-06,13.29092,0,0.400929,16039.74,0.06895,,,,
482.526,89.99879,249.3972,49.33413,0.1592475,0.1978135,5,0.4210773,24.99946,0.06385296,13290.93,1.31E-06,13.29093,0,0.4244674,16979.06,0.06895,,,,
483.503,90.00089,256.8298,49.94464,0.163968,0.1944659,6.3,0.4297424,24.99558,0.06384305,13290.92,1.31E-06,13.29092,0,0.4370496,17485.07,0.06895,,,,
485.0441,89.99478,264.3723,50.59812,0.168769,0.1913896,7.9,0.4366868,24.99347,0.06383764,13290.9,1.53E-06,13.2909,0,0.4498466,17998.57,0.06895,,,,
485.46,90.00126,272.0236,51.22973,0.1736633,0.1883283,10,0.4402719,24.99489,0.06384128,13290.89,1.53E-06,13.29089,0,0.4628922,18519.47,0.06895,,,,
486.1508,89.99426,279.7052,51.84328,0.1785815,0.1853497,12.6,0.4388081,24.99687,0.06384632,13290.88,1.53E-06,13.29088,0,0.4760014,19042.44,0.06895,,,,
486.9418,89.99701,287.3692,52.50141,0.1834587,0.1826967,15.8,0.4295479,24.99468,0.06384074,13290.87,1.75E-06,13.29087,0,0.4890012,19564.21,0.06895,,,,
487.2328,90.00324,293.5456,52.98709,0.1874768,0.1805072,19,0.413171,25.0047,0.06386632,13290.86,1.75E-06,13.29086,0,0.4997114,19984.7,0.06895,,,,
487.4242,90.00076,302.5754,53.78796,0.1931674,0.1777672,25,0.3650432,24.99481,0.06384106,13290.86,1.75E-06,13.29086,0,0.5148793,20599.45,0.06895,,,,
488.1162,90.0035,311.6336,57.11424,0.1988254,0.1832737,31.6,0.2937844,24.97913,0.06380102,13290.84,1.97E-06,13.29084,0,0.5299606,21216.13,0.06895,,,,
488.9097,90.00136,320.3534,56.15795,0.204477,0.1753,39.8,0.1789944,24.98992,0.06382859,13290.83,1.97E-06,13.29083,0,0.5450249,21809.78,0.06895,,,,
489.1802,89.9962,326.4649,56.06693,0.2083722,0.1717396,50,0.1186515,24.98924,0.06382685,13290.82,1.97E-06,13.29082,0,0.5554072,22225.85,0.06895,,,,
489.3902,90.00249,337.6234,62.94298,0.2155817,0.1864295,63,0.4076624,24.99938,0.06385273,13290.83,1.97E-06,13.29083,0,0.5746239,22985.53,0.06895,,,,
489.7056,89.99426,342.8456,52.60324,0.2189338,0.1534313,79.5,0.9435139,25.00138,0.06385784,13290.86,1.75E-06,13.29086,0,0.5835586,23341.06,0.06895,,,,
489.9012,89.99156,349.4137,64.92153,0.2231104,0.1858013,100,1.808274,24.99939,0.06385278,13290.87,1.68E-06,13.29088,0,0.5946911,23788.22,0.06895,,,,
